Stretch,Stress
1,0
1.005,0.033216
1.010666667,0.041360667
1.015333333,0.053205333
1.022,0.062824333
1.027666667,0.079398333
1.033,0.100132333
1.038,0.121024667
1.044,0.141613667
1.048666667,0.164874667
1.053333333,0.197113333
1.058666667,0.22907
1.064333333,0.263308667
1.069666667,0.308964667
1.075333333,0.356803333
1.081333333,0.423124
1.087,0.484988333
1.092333333,0.563289
1.097333333,0.635804333
1.103333333,0.72106
1.109,0.812438667
1.113,0.887444
1.117666667,0.981598667
1.123,1.083060333
1.128666667,1.208880333
1.135,1.336089333
1.141333333,1.507037667
1.145666667,1.619870333
1.150666667,1.744914333
1.156,1.894386667
1.162,2.053900333
1.167666667,2.219664667
1.173,2.386402333
1.178666667,2.546085
1.184,2.739476
1.189333333,2.894854
1.195,3.094416667
1.200333333,3.143636333
1.206333333,3.349081333
1.211666667,3.501105667
1.217333333,3.697595333
1.222,3.848722667
1.227,4.015347
1.232,4.165607667
1.237333333,4.343544
1.243333333,4.558177
1.248666667,4.731785
1.254,4.923556333
1.26,5.125937
1.265333333,5.256290667
